repo,user_id,user_login,contributions,account_created_at,public_repos,followers
rust-lang/rust,7864326,devonhollowood,76,2014-06-11T21:43:27Z,50,16
rust-lang/rust,9020423,SkiFire13,76,2014-10-04T18:30:57Z,65,47
rust-lang/rust,41755,qnighy,76,2008-12-20T07:16:39Z,226,305
rust-lang/rust,3222276,yichoi,75,2013-01-09T04:26:27Z,5,11
rust-lang/rust,57856193,hkmatsumoto,75,2019-11-17T07:08:44Z,54,94
rust-lang/rust,865233,bstrie,75,2011-06-21T20:20:59Z,69,110
rust-lang/rust,1974256,theotherphil,75,2012-07-14T09:27:35Z,42,18
rust-lang/rust,209321,kiljacken,74,2010-02-23T17:20:44Z,13,30
rust-lang/rust,1835307,yotamofek,74,2012-06-10T10:28:11Z,41,32
rust-lang/rust,10054343,czipperz,73,2014-12-03T00:42:45Z,147,26
rust-lang/rust,2055302,ftxqxd,73,2012-07-28T04:27:08Z,38,21
rust-lang/rust,29879298,Rustin170506,73,2017-07-04T03:14:28Z,185,668
rust-lang/rust,20063,killercup,72,2008-08-08T19:37:10Z,351,924
rust-lang/rust,6721458,KodrAus,71,2014-02-18T23:18:28Z,153,281
rust-lang/rust,779501,kpreid,71,2011-05-10T15:59:11Z,102,238
rust-lang/rust,2133026,Ryan1729,71,2012-08-11T01:43:34Z,175,10
rust-lang/rust,198396,srinivasreddy,70,2010-02-06T14:38:02Z,38,106
rust-lang/rust,11428655,marcoieni,69,2015-03-11T17:56:04Z,153,320
rust-lang/rust,6751033,mikeyhew,69,2014-02-21T19:21:00Z,101,5
rust-lang/rust,1678126,malbarbo,69,2012-04-25T11:53:00Z,40,87
rust-lang/rust,5456384,Lokathor,69,2013-09-14T03:47:57Z,64,362
rust-lang/rust,696509,jroesch,69,2011-03-29T04:37:01Z,148,383
rust-lang/rust,1506030,ranma42,69,2012-03-06T07:49:47Z,68,46
rust-lang/rust,3356767,pczarn,68,2013-01-23T16:33:38Z,82,131
rust-lang/rust,52933714,rmehri01,68,2019-07-15T18:54:16Z,36,42
rust-lang/rust,21277928,TimDiekmann,68,2016-08-27T12:37:33Z,35,56
rust-lang/rust,676417,z0w0,68,2011-03-18T03:55:32Z,7,57
rust-lang/rust,88239847,Rejyr,68,2021-07-31T13:38:14Z,6,6
rust-lang/rust,6812281,anp,67,2014-02-28T04:38:34Z,75,551
rust-lang/rust,47725341,a1phyr,67,2019-02-17T22:05:03Z,61,21
rust-lang/rust,111161,Ms2ger,67,2009-08-02T19:18:23Z,151,292
rust-lang/rust,9676954,rchaser53,66,2014-11-11T14:19:35Z,241,39
rust-lang/rust,34665709,asquared31415,66,2017-12-19T00:16:37Z,46,17
rust-lang/rust,27658,jdm,66,2008-10-05T18:56:00Z,229,579
rust-lang/rust,22821514,nivkner,66,2016-10-13T17:07:14Z,55,2
rust-lang/rust,79955405,Jules-Bertholet,66,2021-03-03T03:24:39Z,77,26
rust-lang/rust,162027,treeman,65,2009-12-04T17:55:15Z,57,106
rust-lang/rust,731722,Havvy,65,2011-04-15T14:52:38Z,105,48
rust-lang/rust,1766128,denismerigoux,64,2012-05-22T17:09:52Z,31,135
rust-lang/rust,7419664,LukasKalbertodt,64,2014-04-27T11:13:25Z,88,343
rust-lang/rust,5961244,cynecx,64,2013-11-17T14:43:58Z,93,29
rust-lang/rust,16212576,unexge,64,2015-12-08T18:35:49Z,46,55
rust-lang/rust,4866051,vemoo,63,2013-06-28T11:18:55Z,57,8
rust-lang/rust,10286488,JOE1994,63,2014-12-24T04:39:12Z,30,50
rust-lang/rust,692547,jruderman,63,2011-03-26T21:16:10Z,21,51
rust-lang/rust,3736990,hkratz,63,2013-03-01T10:32:29Z,33,37
rust-lang/rust,29749111,DevinR528,63,2017-06-28T07:57:06Z,91,49
rust-lang/rust,15850505,clarfonthey,62,2015-11-14T20:30:57Z,95,42
rust-lang/rust,69764315,Serial-ATA,62,2020-08-16T17:00:14Z,40,13
rust-lang/rust,7629727,jeremystucki,62,2014-05-19T11:02:22Z,26,70
rust-lang/rust,1068853,gurry,62,2011-09-21T19:06:17Z,70,11
rust-lang/rust,45986823,Giga-Bowser,61,2018-12-19T04:25:09Z,10,3
rust-lang/rust,56830709,raoulstrackx,61,2019-10-21T12:54:52Z,25,4
rust-lang/rust,22333129,inquisitivecrystal,61,2016-09-20T23:20:48Z,26,10
rust-lang/rust,55319043,tiif,60,2019-09-14T12:36:09Z,14,12
rust-lang/rust,7249331,surechen,60,2014-04-10T09:41:32Z,10,14
rust-lang/rust,546409,nham,60,2011-01-04T03:21:28Z,128,25
rust-lang/rust,39644970,lapla-cogito,60,2018-05-26T08:10:50Z,31,22
rust-lang/rust,1407733,heiher,60,2012-02-04T10:03:51Z,39,433
rust-lang/rust,17287790,kylematsuda,60,2016-02-17T06:43:44Z,19,6
rust-lang/rust,50936,kamalmarhubi,60,2009-02-01T19:23:40Z,167,327
rust-lang/rust,1428731,Dretch,60,2012-02-11T11:20:26Z,55,0
rust-lang/rust,10927717,usbalbin,59,2015-02-09T18:04:50Z,65,5
rust-lang/rust,1396101,bryangarza,59,2012-01-31T23:03:24Z,86,133
rust-lang/rust,138017,regexident,59,2009-10-10T19:52:03Z,103,209
rust-lang/rust,448274,osa1,59,2010-10-21T13:24:02Z,134,436
rust-lang/rust,81079,Nemo157,59,2009-05-05T06:56:31Z,313,221
rust-lang/rust,303663,luisbg,58,2010-06-12T17:47:07Z,88,90
rust-lang/rust,83271,fhartwig,58,2009-05-11T14:45:13Z,51,20
rust-lang/rust,18697981,denisvasilik,58,2016-04-27T09:50:51Z,86,11
rust-lang/rust,47979223,rustbot,57,2019-02-25T13:21:12Z,2,69
rust-lang/rust,167209,omasanori,57,2009-12-14T04:31:09Z,17,488
rust-lang/rust,1054456,ojeda,57,2011-09-15T21:51:42Z,21,628
rust-lang/rust,29306214,krasimirgg,57,2017-06-09T12:56:25Z,29,5
rust-lang/rust,1271492,kevina,57,2011-12-18T21:49:04Z,25,35
rust-lang/rust,66734,qmx,57,2009-03-24T21:40:51Z,315,433
rust-lang/rust,24142,ben0x539,57,2008-09-11T12:59:07Z,98,47
rust-lang/rust,1250894,adrientetar,57,2011-12-08T22:11:49Z,19,128
rust-lang/rust,56031107,kraktus,56,2019-10-01T12:49:49Z,169,49
rust-lang/rust,14945055,koka831,56,2015-10-02T18:17:44Z,63,17
rust-lang/rust,70800,Wilfred,56,2009-04-05T21:52:10Z,439,1122
rust-lang/rust,739070,dns2utf8,56,2011-04-19T13:35:47Z,181,92
rust-lang/rust,41484652,krishna-veerareddy,56,2018-07-20T16:27:10Z,8,1
rust-lang/rust,8074468,eopb,56,2014-07-05T11:29:04Z,131,79
rust-lang/rust,4556097,h-michael,55,2013-05-29T04:20:00Z,77,144
rust-lang/rust,18747072,JhonnyBillM,55,2016-04-30T03:09:47Z,25,12
rust-lang/rust,52674,Blei,55,2009-02-07T23:53:37Z,16,27
rust-lang/rust,667901,tomjakubowski,55,2011-03-14T03:52:51Z,182,66
rust-lang/rust,10580822,dpaoliello,54,2015-01-18T06:11:55Z,47,14
rust-lang/rust,222942,Keruspe,54,2010-03-15T10:59:37Z,170,253
rust-lang/rust,12419401,roxelo,54,2015-05-12T23:00:10Z,4,36
